.entry _Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii
.param .u64 _Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_0,
.param .u64 _Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_1,
.param .u64 _Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_2,
.param .u32 _Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_3,
.param .u32 _Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_4,
.param .u32 _Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_5,
.param .u32 _Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_6,
.param .u32 _Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_7
)
{
.reg .pred %p<101>;
.reg .b16 %rs<85>;
.reg .f32 %f<1105>;
.reg .b32 %r<5230>;
.reg .b64 %rd<421>;

	.shared .align 4 .b8 _ZZN43_INTERNAL_25a57f3b_12_ggml_cuda_cu_2317e5a69mul_mat_qILi32ELi2ELi4ELb0E10block_q5_0Li128ELi64ELi4EXadL_ZNS_19allocate_tiles_q5_0ILi64EEEvPPiPP7__half2S4_S4_EEXadL_ZNS_15load_tiles_q5_0ILi64ELi4ELb0EEEvPKvS3_S6_S3_S3_RKiSC_SC_SC_EELi4EXadL_ZNS_25vec_dot_q5_0_q8_1_mul_matEPSB_PKS5_SD_SD_SD_SF_SC_SC_SC_EEEEvSA_SA_PfiiiiiE9tile_y_qs[16384];

	.shared .align 4 .b8 _ZZN43_INTERNAL_25a57f3b_12_ggml_cuda_cu_2317e5a69mul_mat_qILi32ELi2ELi4ELb0E10block_q5_0Li128ELi64ELi4EXadL_ZNS_19allocate_tiles_q5_0ILi64EEEvPPiPP7__half2S4_S4_EEXadL_ZNS_15load_tiles_q5_0ILi64ELi4ELb0EEEvPKvS3_S6_S3_S3_RKiSC_SC_SC_EELi4EXadL_ZNS_25vec_dot_q5_0_q8_1_mul_matEPSB_PKS5_SD_SD_SD_SF_SC_SC_SC_EEEEvSA_SA_PfiiiiiE9tile_y_ds[2048];

ld.param.u64 %rd38, [_Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_0];
ld.param.u64 %rd39, [_Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_1];
ld.param.u32 %r88, [_Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_3];
ld.param.u32 %r85, [_Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_5];
ld.param.u32 %r86, [_Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_6];
mov.f32 %f931, %f913;
mov.f32 %f932, %f913;
mov.f32 %f933, %f913;
mov.f32 %f934, %f913;
mov.f32 %f935, %f913;
mov.f32 %f936, %f913;
mov.f32 %f937, %f913;
mov.f32 %f938, %f913;
mov.f32 %f939, %f913;
mov.f32 %f940, %f913;
mov.f32 %f941, %f913;
mov.f32 %f942, %f913;
mov.f32 %f943, %f913;
mov.f32 %f944, %f913;
mov.f32 %f945, %f913;
mov.f32 %f946, %f913;
mov.f32 %f947, %f913;
mov.f32 %f948, %f913;
mov.f32 %f949, %f913;
mov.f32 %f950, %f913;
mov.f32 %f951, %f913;
mov.f32 %f952, %f913;
mov.f32 %f953, %f913;
mov.f32 %f954, %f913;
mov.f32 %f955, %f913;
mov.f32 %f956, %f913;
mov.f32 %f957, %f913;
mov.f32 %f958, %f913;
mov.f32 %f959, %f913;
mov.f32 %f960, %f913;
mov.f32 %f961, %f913;
mov.f32 %f962, %f913;
mov.f32 %f963, %f913;
mov.f32 %f964, %f913;
mov.f32 %f965, %f913;
mov.f32 %f966, %f913;
mov.f32 %f967, %f913;
mov.f32 %f968, %f913;
mov.f32 %f969, %f913;
mov.f32 %f970, %f913;
mov.f32 %f971, %f913;
mov.f32 %f972, %f913;
mov.f32 %f973, %f913;
mov.f32 %f974, %f913;
mov.f32 %f975, %f913;
mov.f32 %f976, %f913;
mov.u32 %r5227, %r92;

$L__BB45_3:
and.b32 %r279, %r100, 3;
shl.b32 %r280, %r100, 2;
and.b32 %r281, %r280, 12;
cvt.u64.u32 %rd41, %r281;
shr.u32 %r282, %r100, 3;
shl.b32 %r284, %r99, 2;
add.s32 %r285, %r282, %r284;
add.s32 %r286, %r285, 48;
shr.u32 %r287, %r286, 2;
and.b32 %r288, %r100, 7;
add.s32 %r289, %r287, %r288;
shl.b32 %r290, %r286, 3;
add.s32 %r291, %r289, %r290;
shl.b32 %r292, %r291, 2;
mov.u32 %r293, _ZZN43_INTERNAL_25a57f3b_12_ggml_cuda_cu_2317e5a619allocate_tiles_q5_0ILi64EEEvPPiPP7__half2S2_S2_E8tile_x_d;
add.s32 %r294, %r293, %r292;
add.s32 %r295, %r285, 32;
shr.u32 %r296, %r295, 2;
add.s32 %r297, %r296, %r288;
shl.b32 %r298, %r295, 3;
add.s32 %r299, %r297, %r298;
shl.b32 %r300, %r299, 2;
add.s32 %r301, %r293, %r300;
add.s32 %r302, %r285, 16;
shr.u32 %r303, %r302, 2;
add.s32 %r304, %r303, %r288;
shl.b32 %r305, %r302, 3;
add.s32 %r306, %r304, %r305;
shl.b32 %r307, %r306, 2;
add.s32 %r308, %r293, %r307;
shr.u32 %r309, %r285, 2;
add.s32 %r310, %r309, %r288;
shl.b32 %r311, %r285, 3;
add.s32 %r312, %r310, %r311;
shl.b32 %r313, %r312, 2;
add.s32 %r314, %r293, %r313;
mov.u32 %r315, %ctaid.x;
mul.lo.s32 %r316, %r315, %r1;
shl.b32 %r317, %r316, 6;
cvt.s64.s32 %rd44, %r317;
cvt.s64.s32 %rd45, %r5227;
add.s64 %rd46, %rd45, %rd44;
cvt.u64.u32 %rd47, %r101;
add.s64 %rd48, %rd46, %rd47;
mul.lo.s32 %r319, %r99, %r1;
cvt.s64.s32 %rd49, %r319;
add.s64 %rd50, %rd48, %rd49;
mul.lo.s64 %rd51, %rd50, 22;
add.s64 %rd52, %rd43, %rd51;
add.s64 %rd53, %rd52, %rd41;
ld.global.nc.u16 %rs13, [%rd53+6];
ld.global.nc.u16 %rs14, [%rd53+8];
mov.b32 %r320, {%rs13, %rs14};
ld.global.nc.u16 %rs15, [%rd52+2];
ld.global.nc.u16 %rs16, [%rd52+4];
mov.b32 %r321, {%rs15, %rs16};
shr.s32 %r322, %r321, %r281;
and.b32 %r323, %r320, 252645135;
shl.b32 %r324, %r322, 4;
and.b32 %r325, %r324, 16;
or.b32 %r326, %r325, %r323;
shl.b32 %r327, %r322, 11;
and.b32 %r328, %r327, 4096;
or.b32 %r329, %r326, %r328;
shl.b32 %r330, %r322, 18;
and.b32 %r331, %r330, 1048576;
or.b32 %r332, %r329, %r331;
shl.b32 %r333, %r322, 25;
and.b32 %r334, %r333, 268435456;
or.b32 %r178, %r332, %r334;
mov.u32 %r272, 269488144;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r178; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r177,r; 
}

	shl.b32 %r335, %r100, 1;
mad.lo.s32 %r336, %r99, 65, %r335;
shl.b32 %r337, %r336, 2;
mov.u32 %r338, _ZZN43_INTERNAL_25a57f3b_12_ggml_cuda_cu_2317e5a619allocate_tiles_q5_0ILi64EEEvPPiPP7__half2S2_S2_E9tile_x_ql;
add.s32 %r339, %r338, %r337;
st.shared.u32 [%r339], %r177;
shr.u32 %r340, %r320, 4;
and.b32 %r341, %r340, 252645135;
shr.u32 %r342, %r322, 12;
and.b32 %r343, %r342, 16;
or.b32 %r344, %r343, %r341;
shr.u32 %r345, %r322, 5;
and.b32 %r346, %r345, 4096;
or.b32 %r347, %r344, %r346;
shl.b32 %r348, %r322, 2;
and.b32 %r349, %r348, 1048576;
or.b32 %r350, %r347, %r349;
shl.b32 %r351, %r322, 9;
and.b32 %r352, %r351, 268435456;
or.b32 %r181, %r350, %r352;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r181; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r180,r; 
}

	st.shared.u32 [%r339+4], %r180;
shl.b32 %r353, %r1, 2;
add.s32 %r354, %r319, %r353;
cvt.s64.s32 %rd54, %r354;
add.s64 %rd55, %rd48, %rd54;
mul.lo.s64 %rd56, %rd55, 22;
add.s64 %rd57, %rd43, %rd56;
add.s64 %rd58, %rd57, %rd41;
ld.global.nc.u16 %rs17, [%rd58+6];
ld.global.nc.u16 %rs18, [%rd58+8];
mov.b32 %r355, {%rs17, %rs18};
ld.global.nc.u16 %rs19, [%rd57+2];
ld.global.nc.u16 %rs20, [%rd57+4];
mov.b32 %r356, {%rs19, %rs20};
shr.s32 %r357, %r356, %r281;
and.b32 %r358, %r355, 252645135;
shl.b32 %r359, %r357, 4;
and.b32 %r360, %r359, 16;
or.b32 %r361, %r360, %r358;
shl.b32 %r362, %r357, 11;
and.b32 %r363, %r362, 4096;
or.b32 %r364, %r361, %r363;
shl.b32 %r365, %r357, 18;
and.b32 %r366, %r365, 1048576;
or.b32 %r367, %r364, %r366;
shl.b32 %r368, %r357, 25;
and.b32 %r369, %r368, 268435456;
or.b32 %r184, %r367, %r369;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r184; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r183,r; 
}

	st.shared.u32 [%r339+1040], %r183;
shr.u32 %r370, %r355, 4;
and.b32 %r371, %r370, 252645135;
shr.u32 %r372, %r357, 12;
and.b32 %r373, %r372, 16;
or.b32 %r374, %r373, %r371;
shr.u32 %r375, %r357, 5;
and.b32 %r376, %r375, 4096;
or.b32 %r377, %r374, %r376;
shl.b32 %r378, %r357, 2;
and.b32 %r379, %r378, 1048576;
or.b32 %r380, %r377, %r379;
shl.b32 %r381, %r357, 9;
and.b32 %r382, %r381, 268435456;
or.b32 %r187, %r380, %r382;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r187; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r186,r; 
}

	st.shared.u32 [%r339+1044], %r186;
add.s32 %r383, %r354, %r353;
cvt.s64.s32 %rd59, %r383;
add.s64 %rd60, %rd48, %rd59;
mul.lo.s64 %rd61, %rd60, 22;
add.s64 %rd62, %rd43, %rd61;
add.s64 %rd63, %rd62, %rd41;
ld.global.nc.u16 %rs21, [%rd63+6];
ld.global.nc.u16 %rs22, [%rd63+8];
mov.b32 %r384, {%rs21, %rs22};
ld.global.nc.u16 %rs23, [%rd62+2];
ld.global.nc.u16 %rs24, [%rd62+4];
mov.b32 %r385, {%rs23, %rs24};
shr.s32 %r386, %r385, %r281;
and.b32 %r387, %r384, 252645135;
shl.b32 %r388, %r386, 4;
and.b32 %r389, %r388, 16;
or.b32 %r390, %r389, %r387;
shl.b32 %r391, %r386, 11;
and.b32 %r392, %r391, 4096;
or.b32 %r393, %r390, %r392;
shl.b32 %r394, %r386, 18;
and.b32 %r395, %r394, 1048576;
or.b32 %r396, %r393, %r395;
shl.b32 %r397, %r386, 25;
and.b32 %r398, %r397, 268435456;
or.b32 %r190, %r396, %r398;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r190; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r189,r; 
}

	st.shared.u32 [%r339+2080], %r189;
shr.u32 %r399, %r384, 4;
and.b32 %r400, %r399, 252645135;
shr.u32 %r401, %r386, 12;
and.b32 %r402, %r401, 16;
or.b32 %r403, %r402, %r400;
shr.u32 %r404, %r386, 5;
and.b32 %r405, %r404, 4096;
or.b32 %r406, %r403, %r405;
shl.b32 %r407, %r386, 2;
and.b32 %r408, %r407, 1048576;
or.b32 %r409, %r406, %r408;
shl.b32 %r410, %r386, 9;
and.b32 %r411, %r410, 268435456;
or.b32 %r193, %r409, %r411;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r193; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r192,r; 
}

	st.shared.u32 [%r339+2084], %r192;
add.s32 %r412, %r383, %r353;
cvt.s64.s32 %rd64, %r412;
add.s64 %rd65, %rd48, %rd64;
mul.lo.s64 %rd66, %rd65, 22;
add.s64 %rd67, %rd43, %rd66;
add.s64 %rd68, %rd67, %rd41;
ld.global.nc.u16 %rs25, [%rd68+6];
ld.global.nc.u16 %rs26, [%rd68+8];
mov.b32 %r413, {%rs25, %rs26};
ld.global.nc.u16 %rs27, [%rd67+2];
ld.global.nc.u16 %rs28, [%rd67+4];
mov.b32 %r414, {%rs27, %rs28};
shr.s32 %r415, %r414, %r281;
and.b32 %r416, %r413, 252645135;
shl.b32 %r417, %r415, 4;
and.b32 %r418, %r417, 16;
or.b32 %r419, %r418, %r416;
shl.b32 %r420, %r415, 11;
and.b32 %r421, %r420, 4096;
or.b32 %r422, %r419, %r421;
shl.b32 %r423, %r415, 18;
and.b32 %r424, %r423, 1048576;
or.b32 %r425, %r422, %r424;
shl.b32 %r426, %r415, 25;
and.b32 %r427, %r426, 268435456;
or.b32 %r196, %r425, %r427;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r196; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r195,r; 
}

	st.shared.u32 [%r339+3120], %r195;
shr.u32 %r428, %r413, 4;
and.b32 %r429, %r428, 252645135;
shr.u32 %r430, %r415, 12;
and.b32 %r431, %r430, 16;
or.b32 %r432, %r431, %r429;
shr.u32 %r433, %r415, 5;
and.b32 %r434, %r433, 4096;
or.b32 %r435, %r432, %r434;
shl.b32 %r436, %r415, 2;
and.b32 %r437, %r436, 1048576;
or.b32 %r438, %r435, %r437;
shl.b32 %r439, %r415, 9;
and.b32 %r440, %r439, 268435456;
or.b32 %r199, %r438, %r440;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r199; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r198,r; 
}

	st.shared.u32 [%r339+3124], %r198;
add.s32 %r441, %r412, %r353;
cvt.s64.s32 %rd69, %r441;
add.s64 %rd70, %rd48, %rd69;
mul.lo.s64 %rd71, %rd70, 22;
add.s64 %rd72, %rd43, %rd71;
add.s64 %rd73, %rd72, %rd41;
ld.global.nc.u16 %rs29, [%rd73+6];
ld.global.nc.u16 %rs30, [%rd73+8];
mov.b32 %r442, {%rs29, %rs30};
ld.global.nc.u16 %rs31, [%rd72+2];
ld.global.nc.u16 %rs32, [%rd72+4];
mov.b32 %r443, {%rs31, %rs32};
shr.s32 %r444, %r443, %r281;
and.b32 %r445, %r442, 252645135;
shl.b32 %r446, %r444, 4;
and.b32 %r447, %r446, 16;
or.b32 %r448, %r447, %r445;
shl.b32 %r449, %r444, 11;
and.b32 %r450, %r449, 4096;
or.b32 %r451, %r448, %r450;
shl.b32 %r452, %r444, 18;
and.b32 %r453, %r452, 1048576;
or.b32 %r454, %r451, %r453;
shl.b32 %r455, %r444, 25;
and.b32 %r456, %r455, 268435456;
or.b32 %r202, %r454, %r456;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r202; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
